ID,Type,Artikelnummer,Naam,Gepubliceerd,Uitgelicht?,Zichtbaarheid in catalogus,Korte omschrijving,Beschrijving,Startdatum actieprijs,Einddatum actieprijs,Btw status,Belastingklasse,Op voorraad?,Voorraad,Lage voorraad,Nabestellingen toestaan?,Wordt individueel verkocht?,Gewicht (kg),Lengte (cm),Breedte (cm),Hoogte (cm),Klantbeoordelingen toestaan?,Aankoopnotitie,Actieprijs,Reguliere prijs,Categorieën,Tags,Verzendklasse,Afbeeldingen,Downloadlimiet,Dagen vervaltijd download,Hoofd,Gegroepeerde producten,Upsells,Cross-sells,Externe URL,Knop tekst,Positie
744615,simple,,Dappere Kat,0,,visible,"Kinderen en jongeren leren hun angsten herkennen, angstige situaties weer opzoeken en leren angstregulatietechnieken toe te passen.",,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Angst en dwang, Doelgroep (Target audience) > 6 - 12 jaar, Doelgroep (Target audience) > 12 - 16 jaar, Doelgroep (Target audience) > 16 - 25 jaar, Vorm van zorg (Form of care) > Kind en jeugd, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Angst, bang, omgaan met angst, gevoel, gevoelen, exposure, CGT, cognitieve gedragstherapie, protocol, interventie, blootstelling",,"https://raw.githubusercontent.com/CasKarify/Store/main/images/test%20625%20px-21.png, https://raw.githubusercontent.com/CasKarify/Store/main/images/test%20625%20px-21.png",,,,,,,,,0
744616,simple,,"Depressief, wat nu?",0,,visible,"Volwassenen met een LVB leren wat een depressie is, hoe het ontstaat en wat de gevolgen zijn. Zij leren wat ze kunnen doen om zich beter te voelen.",,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Stemming, Doelgroep (Target audience) > Licht Verstandelijke Beperking (LVB), Vorm van zorg (Form of care) > Basis GGZ, Vorm van zorg (Form of care) > (Flexible) Assertive Community Treatment (FACT), Vorm van zorg (Form of care) > Specialistische GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Stemming, depressie, somber, somberheid, gedachten, gevoelens, gedrag, actiever worden, leuke activiteiten, dagritme",,,,,,,,,,,0
744617,simple,,Delictanalyse,0,,visible,Volwassenen die een delict hebben gepleegd onderzoeken welke factoren van invloed zijn geweest op het delict om dit in de toekomst te voorkomen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Forensische zorg (FZ), Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","delict, delictgedrag, delictketen, delicttheorie, KFZ, delinquent, delictanalyse",,,,,,,,,,,0
744618,simple,,Wat is een delictanalyse?,0,,visible,Volwassenen die een delict hebben gepleegd onderzoeken welke factoren van invloed zijn geweest op het delict om dit in de toekomst te voorkomen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Forensische zorg (FZ), Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","delict, delictgedrag, delictketen, delicttheorie, KFZ, delinquent, delictanalyse",,,,,,,,,,,0
744619,simple,,Jouw doelen van de delictanalyse,0,,visible,Volwassenen die een delict hebben gepleegd onderzoeken welke factoren van invloed zijn geweest op het delict om dit in de toekomst te voorkomen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Forensische zorg (FZ), Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","delict, delictgedrag, delictketen, delicttheorie, KFZ, delinquent, delictanalyse",,,,,,,,,,,0
744620,simple,,Drempels om over het delict te praten,0,,visible,Volwassenen die een delict hebben gepleegd onderzoeken welke factoren van invloed zijn geweest op het delict om dit in de toekomst te voorkomen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Forensische zorg (FZ), Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","delict, delictgedrag, delictketen, delicttheorie, KFZ, delinquent, delictanalyse",,,,,,,,,,,0
744621,simple,,Levensloop,0,,visible,Volwassenen die een delict hebben gepleegd onderzoeken welke factoren van invloed zijn geweest op het delict om dit in de toekomst te voorkomen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Forensische zorg (FZ), Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","delict, delictgedrag, delictketen, delicttheorie, KFZ, delinquent, delictanalyse",,,,,,,,,,,0
744622,simple,,Jouw delict beschrijven,0,,visible,Volwassenen die een delict hebben gepleegd onderzoeken welke factoren van invloed zijn geweest op het delict om dit in de toekomst te voorkomen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Forensische zorg (FZ), Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","delict, delictgedrag, delictketen, delicttheorie, KFZ, delinquent, delictanalyse",,,,,,,,,,,0
744623,simple,,Factoren die een rol spelen bij een delict,0,,visible,Volwassenen die een delict hebben gepleegd onderzoeken welke factoren van invloed zijn geweest op het delict om dit in de toekomst te voorkomen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Forensische zorg (FZ), Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","delict, delictgedrag, delictketen, delicttheorie, KFZ, delinquent, delictanalyse",,,,,,,,,,,0
744624,simple,,Andere delicten,0,,visible,Volwassenen die een delict hebben gepleegd onderzoeken welke factoren van invloed zijn geweest op het delict om dit in de toekomst te voorkomen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Forensische zorg (FZ), Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","delict, delictgedrag, delictketen, delicttheorie, KFZ, delinquent, delictanalyse",,,,,,,,,,,0
